name,categories,lat,lng,state,s_asia
Tikka Indian Grill,Indian Restaurant,34.0220305,-84.1493671,GA,1
Pk Tunn Lounge Bar and Grill,Indian Restaurant,34.032595649173345,-84.04994654655457,GA,1
Rice & Pie,Pizza Place,33.983069,-84.17094,GA,1
Jade Dragon Carryout,Indian Chinese Restaurant,33.94142799,-84.16424741,GA,1
Chef Dinesh Cafe,North Indian Restaurant,34.0322259,-84.1851347,GA,1
Spice Garden,North Indian Restaurant,34.022615,-84.149599,GA,1
Gokul Sweets,Chaat Place,34.02080790607742,-84.16229871138776,GA,1
Chaat Ka Chaska,Chaat Place,33.882675,-84.163703,GA,1
Chaska Indian Restaurant,Chaat Place,33.88295165185406,-84.16342376525463,GA,1
Madras Chettinaad,Indian Restaurant,34.05769726483783,-84.234952064446,GA,1
Aunty's Kitchen,Indian Restaurant,34.066541382282864,-84.30684645854066,GA,1
Bawarchi Briyani Pointe,Indian Restaurant,34.05065291218303,-84.28832775843642,GA,1
chennai express,South Indian Restaurant,34.05074742715245,-84.22446532228633,GA,1
Bombay Flames,Indian Restaurant,34.03816605088718,-84.29635061449142,GA,1
India Plaza,Indian Restaurant,34.08929400063994,-84.27591361327558,GA,1
Paradise Biryani Pointe,Indian Restaurant,34.08942270633954,-84.27197050370975,GA,1
Tadka,Indian Restaurant,34.05120966392052,-84.22474855647879,GA,1
Taste of India,Indian Restaurant,34.09312285411217,-84.241212619559,GA,1
Bamboo Garden,Indian Restaurant,34.05107333067144,-84.22472332266292,GA,1
Amma kitchen,Indian Restaurant,34.080790177519276,-84.27789751651142,GA,1
Spice Touch,Indian Restaurant,34.08756583157587,-84.26695574699593,GA,1
Ganesh Indian Market,Indian Restaurant,34.03862213895451,-84.344318,GA,1
Banjara,Indian Restaurant,34.0410198427657,-84.34068111017211,GA,1
Santoor Indian Restaurant,Indian Restaurant,34.03817208663134,-84.29631092529671,GA,1
Bombay Brasserie,Indian Restaurant,34.044045,-84.338659,GA,1
Deccan Spice,Indian Restaurant,34.04129,-84.34063,GA,1
Swagat Indian Cuisine,Indian Restaurant,34.089323,-84.264821,GA,1
Chennai Express Biryani,Indian Restaurant,34.065217,-84.253842,GA,1
kababish,Indian Restaurant,34.12520980834961,-84.26789093017578,GA,1
Botiwalla,Indian Restaurant,34.07507,-84.294418,GA,1
Banjara Indian Restaurant,Indian Restaurant,34.041144,-84.340869,GA,1
Kakatiya Indian Kitchen,Indian Restaurant,34.089325,-84.27619,GA,1
Godavari Atlanta,Indian Restaurant,34.0925015,-84.2805889,GA,1
spdLab Inc.,Indian Restaurant,34.03889108319735,-84.23184417319838,GA,1
Abhiruchi,Indian Restaurant,34.088865839645194,-84.26596283912659,GA,1
Peppers Indian Restaurant,Indian Restaurant,34.04130739999999,-84.340615,GA,1
Peppers Indian Cuisine,Indian Restaurant,34.09786,-84.25947,GA,1
Priya Indian Cuisine,Indian Restaurant,34.045413,-84.224076,GA,1
Amma's Kitchen,Indian Restaurant,34.08401724472294,-84.277107160226,GA,1
Hot Breads,Indian Restaurant,34.09545846981077,-84.27616596221924,GA,1
Biryani,Indian Restaurant,34.066487,-84.307159,GA,1
Sai Murali,Indian Restaurant,34.093183279037476,-84.241286,GA,1
India Chef,Indian Restaurant,34.04858700714376,-84.33923790719858,GA,1
Cafe India,Indian Restaurant,34.06548540843365,-84.25382852554321,GA,1
sanjha chulha,Indian Restaurant,34.087758,-84.25495,GA,1
Simha Authentic Multi Cuisine Fine Dine Restaurant and Bar,Indian Restaurant,34.0894475,-84.27183420000001,GA,1
Kabab & Wraps,Indian Restaurant,34.100635963176146,-84.2541809461029,GA,1
Affairs Atlanta,Indian Restaurant,34.060677001773705,-84.24081444740295,GA,1
Auntys Kitchen,Indian Restaurant,34.091217,-84.283851,GA,1
Hot Breads,Indian Restaurant,34.0883120089358,-84.266924093315,GA,1
Cake World,Indian Restaurant,34.09557882334523,-84.27596933237916,GA,1
Dynasty Chinese Restaurant,Indian Chinese Restaurant,34.0477156231682,-84.22080010327795,GA,1
Persis Biryani Indian Grill,North Indian Restaurant,34.09109886356794,-84.28880907469345,GA,1
Godavari Truly South Indian,South Indian Restaurant,34.09259942605405,-84.28056029768122,GA,1
inchin's bamboo garden,Indian Chinese Restaurant,34.052172,-84.223992,GA,1
Bukharaa Indian Restaurant,Indian Restaurant,34.06925145903619,-84.16669078719903,GA,1
Cafe Bahar Biryani and Grill,Indian Restaurant,34.0708628,-84.16503879999999,GA,1
shri krishna villas,Indian Restaurant,34.10598241222742,-84.1759043714101,GA,1
Myzenes,Indian Restaurant,34.077568,-84.162235,GA,1
Carrabba's Italian Grill,Italian Restaurant,34.153418942196076,-84.17493680551861,GA,1
Aachi's Indian Restaurant & Bakery,South Indian Restaurant,34.064132159166526,-84.21392400349215,GA,1
Saravana Bhavan,Indian Restaurant,34.04543421363651,-84.1785148995625,GA,1
bukharaa,Indian Restaurant,34.068797515983746,-84.16713251903454,GA,1
The Curry Pot,Indian Restaurant,34.04005949807355,-84.0540363565772,GA,1
Bukharra Indian Restaurant,Indian Restaurant,34.069081967700846,-84.17977661401996,GA,1
Mumbai,Indian Restaurant,34.090713,-84.203332,GA,1
The Yellow Chilli of Georgia,Indian Restaurant,34.0629969,-84.2128675,GA,1
Naan n Curry,Pakistani Restaurant,34.06385,-84.214139,GA,1
Alpharetta Halal Meat,Indian Restaurant,34.105593,-84.175994,GA,1
The Indian Kitchen,Indian Restaurant,34.069252303305724,-84.2077334997833,GA,1
Touch of India,Indian Restaurant,34.06284077410508,-84.21264037913323,GA,1
Bawarchi Biryani,Indian Restaurant,34.122494,-84.17462,GA,1
Naan Spicy,Indian Restaurant,34.037744,-84.048876,GA,1
Priya Indian Cuisine,South Indian Restaurant,34.090967,-84.203068,GA,1
Chinese Dhaba,Indian Chinese Restaurant,34.077403036722764,-84.16246175765991,GA,1
786 Kebab & Curry,Indian Restaurant,34.060943280205244,-83.98803662480384,GA,1
Taste Of India,Indian Restaurant,33.957512803592415,-83.37652960233432,GA,1
Kerala Kitchen,Indian Restaurant,33.902691026920174,-84.00522867426325,GA,1
Little India Express Cafe,Indian Restaurant,34.060985134703955,-83.98811036092116,GA,1
Spice Oven,Indian Restaurant,33.913315,-83.97091,GA,1
Palm Palace,Indian Restaurant,33.86251,-83.956356,GA,1
Taj International Indian Cuisine,Indian Restaurant,33.95857238769531,-83.974365234375,GA,1
Taj of India,Indian Restaurant,33.537396122279155,-82.0804404551477,GA,1
Curry Hut,Indian Restaurant,33.50994716055196,-82.03023318301102,GA,1
Namaste Indian street food,Indian Restaurant,33.53290349657693,-82.12679922580719,GA,1
Lahore Express,Indian Restaurant,33.51489067352073,-82.05464003247684,GA,1
kashmir bazaar,Indian Restaurant,33.505092,-82.089493,GA,1
Kebob And Curry Buffet,Indian Restaurant,34.296644,-83.856838,GA,1
Indian Dish,Indian Restaurant,34.3873,-83.897,GA,1
Kebab & Curry,Indian Restaurant,34.296995,-83.856622,GA,1
India's,Indian Restaurant,34.36154,-83.71819,GA,1
Bikaner Restaurant,Indian Restaurant,34.89865724973484,-83.39237360195925,GA,1
